U_E,U_A,A,U_A_Per,nu
0.84,9,0,0,0.002
3.08,31.6,0,0,0.007
4.2,43.6,36.5,73,0.014
4.88,48.8,17.5,35,0.0286
5.12,51.2,6,12,0.0856
5.12,51.2,3.4,6.8,0.1493
5.12,51.2,1.6,3.2,0.308
5.12,51.2,0.55,1.1,0.905
5.12,51.2,320,640,1.599
5.36,54.4,115,230,4.24
5.36,53.6,50,100,10.09
5.6,53.6,31,62,16.05
7.04,40,19,32,31.2
8.2,17.4,7.5,9.8,101.3
8.4,13.4,5.16,7.2,140.8
8.4,11.6,4.44,6.04,166.2
8.4,9.6,3.72,4.95,208
8.2,7.12,2.94,3.84,260
7.44,5.28,2.18,2.74,362
7.20,4.4,1.8,2.26,444
6.88,3.4,1.44,1.792,560
5.92,2.44,1.04,1.228,815
5.12,1.84,800,900,1110
3.84,1.32,576,625,1657
3.08,1.00,480,471,1990
