#Polarisation
#°      mW
0       0.071
10      0.006
20      0.045
30      0.174
40      0.384
50      0.678
60      0.988
70      1.295
80      1.725
90      1.920
100     1.943
110     1.848
120     1.699
130     1.431
140     1.111   
150     0.787
160     0.462
170     0.217
180     0.062
190     0.005
200     0.047
210     0.186
220     0.417
230     0.7
240     1.033
250     1.364
260     1.604
270     1.760
280     1.861
290     1.735
300     1.556
310     1.337
320     0.998
330     0.675
340     0.405
350     0.2
360     0.071
